nom,region,departement,sous_prefecture,latitude,longitude,population
"Mérégougnéré","","","","5.221975","-4.215793",""
"N’Djem","","","","5.2700213","-4.2377878",""
"Niansoukro","","","","5.457911","-4.297293",""
"Niéky Bonjour","","","","5.411994","-4.261816",""
"Nonkouagnon","","","","5.463051","-4.268174",""
"Ouhoua","","","","5.22148","-4.219756",""
"Seydou Kamara","","","","5.3498275","-4.1801171",""
"Anguédédou","","","","5.404122","-4.203072",""
"Songon Dagbé","","","","5.322373","-4.186838",""
"Songon Gare","","","","5.321441","-4.193962",""
"Songon-Agban Attié II","","","","5.354298","-4.244421",""
"Songon-Té","","","","5.305085","-4.249843",""
"Abréby","","","","5.220744","-4.23314",""
"Yao Niaba","","","","5.393724","-4.225554",""
"Yao","","","","5.389889","-4.226076",""
"Adjoufou","","","","5.284693","-3.926189",""
"Atchi","","","","5.239459","-4.078677",""
"Bagouda","","","","5.236834","-4.109571",""
"Bogui","","","","5.235076","-4.115269",""
"Issamboua","","","","5.24155","-4.068866",""
"Lezou Aman","","","","5.2428248","-4.0595357",""
"Mbakré","","","","5.244179","-4.045105",""
"Niaba","","","","5.2678673","-4.0991425",""
"Sié","","","","5.283698","-3.910856",""
"Yesso","","","","5.235667","-4.11085",""
"Abobo Doumé","","","","5.3152057","-4.0359781",""
"Locodjro","","","","5.3264137","-4.0411198",""
"Ahéoua","","","","6.359473","-3.859032",""
"Abié Ayalo","","","","5.916858","-3.938519",""
"Abié","","","","5.8625425","-3.9292151",""
"Adokoi","","","","6.009994","-3.781543",""
"Agbaou","","","","6.34136","-3.854327",""
"Akoudzin","","","","6.0217793","-3.9728056",""
"Ananguié","","","","6.222987","-3.773334",""
"Andé","","","","6.041725","-3.953757",""
"Aouabo","","","","6.239584","-3.79218",""
"Apiadji","","","","5.945511","-3.838785",""
"Bacon","","","","6.356025","-3.910174",""
"Bassadzin","","","","5.937405","-3.738194",""
"Bessedi Anon","","","","5.925848","-3.994111",""
"Bonahouin","","","","6.564741","-3.760663",""
"Bouapé","","","","6.262391","-3.814569",""
"Boudépé","","","","5.9838429","-3.9869468",""
"Diapé","","","","6.014198","-3.927264",""
"Diasson","","","","5.971517","-3.727588",""
"Lobo-Akoudzin","","","","5.85088","-3.822914",""
"Massandji","","","","6.025115","-3.816498",""
"Miadzin","","","","6.044325","-3.906895",""
"Moapé","","","","6.188878","-3.803692",""
"Mopé","","","","5.896747","-3.983324",""
"Nguessankoa","","","","5.938748","-3.94116",""
"Nia","","","","6.009503","-3.725457",""
"Nkoupé","","","","6.072899","-3.935336",""
"Yadio","","","","6.4092758","-3.8837907",""
"Laourébo","","","","6.510279","-4.7962475",""
"Sakassou","","","","6.5490162","-4.824351",""
"Akuvikro","","","","6.5522197","-4.8553673",""
"Loukouyakro","","","","6.5782839","-4.8752243",""
